FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
1001,"Autauga County, AL",6354,17366,"51,441",-6.1,11.1,10.2,21.9,6.9
1003,"Baldwin County, AL",18329,65772,"48,867",17.6,11.1,10.0,28.6,7.5
1005,"Barbour County, AL",5873,5539,"30,287",-6.8,11.0,10.7,13.6,11.5
1007,"Bibb County, AL",2200,6131,"37,392",-3.8,10.8,10.5,10.2,8.5
1009,"Blount County, AL",2961,20741,"44,225",-1.6,12.4,10.3,12.3,6.9
1011,"Bullock County, AL",4058,1250,"25,854",-7.0,11.5,11.0,14.1,10.4
1013,"Butler County, AL",4367,5081,"30,605",-7.8,11.6,13.1,14.3,11.5
1015,"Calhoun County, AL",15500,30272,"39,212",-4.5,11.6,11.5,16.9,8.9
1017,"Chambers County, AL",6853,7596,"32,320",4.5,11.6,13.9,12.2,9.9
1019,"Cherokee County, AL",2126,7494,"37,868",2.3,9.4,12.9,13.7,8.0
1021,"Chilton County, AL",3391,13910,"39,621",-3.9,12.9,11.3,13.5,7.2
1023,"Choctaw County, AL",3785,4150,"33,390",-0.6,8.1,10.7,12.8,10.3
1025,"Clarke County, AL",6317,7463,"34,606",-17.5,11.5,11.3,11.9,15.0
1027,"Clay County, AL",1770,4802,"34,579",-16.3,10.8,13.5,8.6,9.4
1029,"Cleburne County, AL",971,5269,"38,235",-4.3,12.3,10.7,10.6,8.2
1031,"Coffee County, AL",4899,14638,"45,631",11.1,12.3,9.7,23.2,7.0
1033,"Colbert County, AL",9160,13931,"39,771",1.7,11.4,12.2,17.6,8.8
1035,"Conecuh County, AL",3551,3434,"27,110",-9.7,11.1,13.0,8.3,11.9
1037,"Coosa County, AL",2188,3028,"32,960",-9.2,9.4,12.3,9.1,9.4
1039,"Covington County, AL",3155,12148,"34,017",-3.8,10.9,12.6,14.6,8.4
1041,"Crenshaw County, AL",2048,4326,"33,648",3.2,10.6,12.0,12.5,8.3
1043,"Cullman County, AL",4855,27930,"37,938",-0.9,11.5,12.0,15.1,7.7
1045,"Dale County, AL",5283,13105,"40,125",-1.5,14.0,9.0,16.9,7.4
1047,"Dallas County, AL",14599,6284,"27,400",-12.8,13.6,11.7,14.5,12.9
1049,"DeKalb County, AL",5235,18316,"37,644",-8.1,12.2,10.0,11.3,9.0
1051,"Elmore County, AL",8940,26223,"52,324",-1.1,12.0,8.3,21.4,6.9
1053,"Escambia County, AL",5476,9263,"33,588",-3.8,11.7,12.6,12.5,9.2
1055,"Etowah County, AL",12792,29102,"35,737",1.8,11.1,13.5,15.4,8.2
1057,"Fayette County, AL",1803,6034,"35,720",-0.9,9.7,15.0,13.8,8.6
1059,"Franklin County, AL",3171,7567,"33,173",-3.4,12.8,12.0,10.9,8.4
1061,"Geneva County, AL",2039,9173,"33,347",7.9,11.4,13.0,11.2,7.6
1063,"Greene County, AL",4514,799,"24,592",-6.6,11.8,11.4,11.5,13.6
1065,"Hale County, AL",5401,3205,"31,025",-2.9,13.1,10.0,14.0,11.5
1067,"Henry County, AL",3046,5605,"37,108",-10.0,10.7,13.5,16.8,8.3
1069,"Houston County, AL",12348,29214,"40,609",5.5,13.0,9.7,20.1,7.5
1071,"Jackson County, AL",5817,14422,"39,618",-0.6,11.3,13.0,12.9,8.6
1073,"Jefferson County, AL",159658,141413,"43,967",-3.4,13.7,10.2,30.3,7.4
1075,"Lamar County, AL",1643,5453,"33,940",-0.5,9.9,12.1,11.4,7.5
1077,"Lauderdale County, AL",12504,23902,"41,536",2.1,9.6,11.0,22.1,7.7
1079,"Lawrence County, AL",5055,8855,"38,524",-6.8,11.1,11.4,11.3,9.0
1081,"Lee County, AL",21274,32062,"43,182",24.6,11.4,6.0,33.2,6.8
1083,"Limestone County, AL",9809,25263,"49,616",17.0,11.6,8.3,23.1,6.9
1085,"Lowndes County, AL",5747,1754,"28,544",-29.7,13.4,10.4,13.2,15.4
1087,"Macon County, AL",9045,1322,"27,709",-32.3,10.0,10.6,19.4,10.7
1089,"Madison County, AL",61802,90679,"57,072",5.1,11.8,7.6,38.6,6.9
1091,"Marengo County, AL",6154,5321,"31,888",-15.5,12.2,11.0,16.0,10.2
1093,"Marion County, AL",2249,9696,"32,237",-2.5,10.7,13.5,11.1,8.9
1095,"Marshall County, AL",6271,25785,"36,960",1.7,13.7,11.2,16.1,7.8
1097,"Mobile County, AL",78417,94566,"39,546",-2.2,13.7,9.8,21.4,9.2
1099,"Monroe County, AL",4897,5730,"36,221",-7.6,10.8,12.7,12.5,12.5
1101,"Montgomery County, AL",62993,38283,"41,430",-6.6,13.6,8.5,31.3,8.1
1103,"Morgan County, AL",13401,35309,"44,766",-0.7,11.6,10.2,19.9,7.8
1105,"Perry County, AL",4536,1504,"25,215",-26.7,12.2,13.9,9.1,13.3
1107,"Pickens County, AL",4448,5119,"31,433",-1.3,11.6,12.3,9.6,10.2
1109,"Pike County, AL",6009,7939,"32,411",2.9,12.5,9.4,23.6,8.0
1111,"Randolph County, AL",3076,7219,"35,024",-8.6,10.6,11.3,12.4,9.2
1113,"Russell County, AL",10495,8276,"34,310",40.1,16.1,10.2,15.5,8.8
1115,"St. Clair County, AL",5790,29001,"50,989",6.3,12.6,9.5,15.5,6.9
1117,"Shelby County, AL",19944,71243,"67,244",9.4,11.9,6.4,40.2,5.0
1119,"Sumter County, AL",5420,1585,"24,059",-1.6,9.4,11.4,15.0,10.5
1121,"Talladega County, AL",13878,19217,"34,785",4.4,10.9,11.5,12.5,9.4
1123,"Tallapoosa County, AL",6252,12303,"36,463",-7.9,12.1,12.8,17.6,8.6
1125,"Tuscaloosa County, AL",32003,45703,"41,495",6.1,12.4,8.0,27.7,7.0
1127,"Walker County, AL",6551,21633,"36,600",-4.2,12.5,15.5,10.7,9.2
1129,"Washington County, AL",2971,5749,"39,173",-11.4,9.6,10.6,10.3,11.9
1131,"Wilcox County, AL",4867,1676,"22,126",-11.4,12.0,12.6,11.5,19.9
1133,"Winston County, AL",1286,8310,"32,663",-4.0,9.4,12.3,11.1,10.0
2013,"Aleutians East Borough, AK",,,"51,514",7.6,4.6,1.2,12.6,6.8
2016,"Aleutians West Census Area, AK",,,"69,192",14.2,5.3,2.7,15.4,6.9
2020,"Anchorage Municipality, AK",,,"71,094",-3.4,15.4,5.1,32.9,5.4
2050,"Bethel Census Area, AK",,,"41,722",-3.3,24.0,7.0,11.4,15.4
2060,"Bristol Bay Borough, AK",,,"66,178",-50.7,8.0,10.0,20.2,9.8
2068,"Denali Borough, AK",,,"66,325",11.1,11.1,3.7,29.5,13.8
2070,"Dillingham Census Area, AK",,,"47,498",-11.9,20.6,8.1,16.6,9.9
2090,"Fairbanks North Star Borough, AK",,,"63,979",10.2,16.1,4.5,30.5,6.1
2100,"Haines Borough, AK",,,"49,890",1.2,9.3,9.3,31.3,10.0
2105,"Hoonah-Angoon Census Area, AK",,,"40,371",10.9,8.6,5.7,29.3,14.3
2110,"Juneau City and Borough, AK",,,"76,967",1.5,11.4,5.7,37.8,5.1
2122,"Kenai Peninsula Borough, AK",,,"60,431",4.2,12.7,6.1,23.3,8.6
2130,"Ketchikan Gateway Borough, AK",,,"61,296",-1.7,13.9,8.0,24.6,8.1
2150,"Kodiak Island Borough, AK",,,"61,498",5.5,15.8,4.8,21.6,6.7
2164,"Lake and Peninsula Borough, AK",,,"44,657",-15.2,23.1,9.7,13.7,15.2
2170,"Matanuska-Susitna Borough, AK",,,"68,109",12.3,14.2,5.6,20.9,8.7
2180,"Nome Census Area, AK",,,"47,022",-13.8,25.6,7.6,14.7,11.7
2185,"North Slope Borough, AK",,,"69,138",-0.1,18.3,3.4,13.4,7.7
2188,"Northwest Arctic Borough, AK",,,"52,945",-16.2,23.4,7.3,12.0,15.7
2195,"Petersburg Census Area, AK",,,"57,728",1.5,11.9,5.5,25.2,8.1
2198,"Prince of Wales-Hyder Census Area, AK",,,"44,721",-0.9,14.2,5.6,16.3,13.3
2220,"Sitka City and Borough, AK",,,"61,771",8.6,12.7,6.4,32.9,5.7
2230,"Skagway Municipality, AK",,,"65,379",30.6,6.1,1.0,34.6,14.1
